dataset,model,Continuous_Mean_WD,Continuous_Mean_KL_50bins,Continuous_Corr_Pearson,mmd,Discrete_Cat_Mean_KL,Pairwise_MI_Err,Discrete_Mean_KL,Discrete_Corr_Spearman,Categorical_Mean_KL,Categorical_NMI,fit_time,tstr_f1_real,tstr_f1_synth,tstr_f1_deviation_%,tstr_f1_diff_raw,fold,tstr_r2_real,tstr_r2_synth,tstr_r2_deviation_%,tstr_r2_diff_raw
Stroke Prediction,msbm,0.12425767526837639,0.10680438509483191,0.19641531766320902,0.008291153956279995,0.002382141689172935,6.263934943297902,0.0015065498543193419,0.24491394633887473,0.0029074967900850905,0.03843707361400435,54.015029430389404,0.4892648015614834,0.5156115019128718,-5.384957239372861,-0.026346700351388364,1,,,,
Stroke Prediction,msbm,0.07976404445450659,0.09550675906346001,0.2404436746661708,0.004223558730934385,0.002028195088896177,4.93104338609778,0.0019305995878302663,0.06362587201997016,0.002086752389535723,0.01696180770377853,54.815898418426514,0.4889322916666667,0.48859934853420195,0.06809595891688872,0.00033294313246473584,2,,,,
Stroke Prediction,msbm,0.09168565955939344,0.12310789339134161,0.28038479412047357,0.005735191184352062,0.0025207700985004694,7.160659130679375,0.0018955685424743088,0.3423451336371023,0.002895891032116166,0.048173548467108335,58.53723669052124,0.48826597131681876,0.4895968790637191,-0.2725784357470178,-0.0013309077469003672,3,,,,
Stroke Prediction,msbm,0.06889561438663852,0.07838889585185795,0.1571393350581236,0.0024484364264077962,0.0017509684455794096,8.543270380265986,0.001961614168755037,0.09856011453572432,0.0016245810116740332,0.07764490405877154,59.47442007064819,0.48859934853420195,0.5166956395769955,-5.750374233425078,-0.028096291042793542,4,,,,
Stroke Prediction,msbm,0.0984972041437028,0.10594612493323305,0.23683148845339827,0.00630995556469478,0.002199266897291532,6.706601921149213,0.0018931205228378653,0.17553219999489977,0.0023829547219637323,0.04488372943907677,56.99939484596253,0.4945797286424165,0.499556642506403,-1.0878064041570052,-0.004976913863986521,mean,,,,
Palmer Penguins,msbm,0.20666526229361035,1.628182264337177,1.137490160532757,0.029775733768697354,0.6718669250178498,3.7651283608077595,,,0.6718669250178498,0.41154386173809127,11.999011754989624,0.976375046142488,0.976375046142488,0.0,0.0,0,,,,
Palmer Penguins,msbm,0.20365896113226792,1.1966820346242966,1.2697476629031341,0.025635388098064205,0.3737254342217118,3.8443932601615165,,,0.3737254342217118,0.39549519485082635,12.76291823387146,1.0,1.0,0.0,0.0,1,,,,
Palmer Penguins,msbm,0.22014058186051913,0.6727208115450626,1.0664117840095635,0.03820882658642549,0.435930733235162,4.3331904381234585,,,0.435930733235162,0.47485281738765406,13.21702527999878,0.9521739130434783,1.0,-5.022831050228305,-0.047826086956521685,2,,,,
Palmer Penguins,msbm,0.18490967579994624,1.0748760870332292,1.1706953479288338,0.03944878566989074,0.3912835304737937,3.983323893057409,,,0.3912835304737937,0.4634262544511724,12.71273398399353,0.976375046142488,1.0,-2.419659735349712,-0.023624953857511954,3,,,,
Palmer Penguins,msbm,0.17797403259547126,1.18065515382681,0.8240604049483834,0.027020754460840735,0.6036449079208253,4.1494925542170655,,,0.6036449079208253,0.46880547149874857,11.940330505371094,1.0,1.0,0.0,0.0,4,,,,
Palmer Penguins,msbm,0.19866970273636297,1.150623270273315,1.0936810720645345,0.032017897716783705,0.49529030617386854,4.015105701273442,,,0.49529030617386854,0.44282471998529854,12.526403951644898,0.9809848010656909,0.9952750092284977,-1.4884981571156035,-0.014290208162806729,mean,,,,
